Classe,formula
Haletos com Metais de Transição,Cd4K2I6O6Se2
Haletos com Metais de Transição,Cd4K2I6O6Te2
Haletos com Metais de Transição,Cd4K2I6S6Se2
Haletos com Metais de Transição,Cd4Na2Br6O8
Haletos com Metais de Transição,Cd4Na2Br6S6Te2
Haletos com Metais de Transição,Cd4Na2F6O6Se2
Haletos com Metais de Transição,Cd4Na2I6O6S2
Haletos com Metais de Transição,Cd4Rb2Br6O6S2
Haletos com Metais de Transição,Cd4Rb2Br6O6Se2
Haletos com Metais de Transição,Cd4Rb2Br6O6Te2
Haletos com Metais de Transição,Cd4Rb2Br6S6Se2
Haletos com Metais de Transição,Cd4Rb2Br6S6Te2
Haletos com Metais de Transição,Cd4Rb2Cl6O2S6
Haletos com Metais de Transição,Cd4Rb2Cl6O6Se2
Haletos com Metais de Transição,Cd4Rb2F6S6Se2
Haletos com Metais de Transição,Cd4Rb2F6S8
Haletos com Metais de Transição,Cd4Rb2I6O6S2
Haletos com Metais de Transição,Cd4Rb2I6O6Se2
Haletos com Metais de Transição,Cd4Rb2I6O6Te2
Haletos com Metais de Transição,Cd4Rb2I6O8
Haletos com Metais de Transição,CdB4Br2H4N2
Haletos com Metais de Transição,CdB4Cl2F4N2
Haletos com Metais de Transição,CdBr2C2F4N4
Haletos com Metais de Transição,CdBr2H4N6
Haletos com Metais de Transição,CdBrHS
Haletos com Metais de Transição,CdBrIO2Sb
Haletos com Metais de Transição,CdC6Cl2H4
Haletos com Metais de Transição,CdC6F2H4
Haletos com Metais de Transição,CdC6H4I2
Haletos com Metais de Transição,CdClFO
Haletos com Metais de Transição,CdClGeIS
Haletos com Metais de Transição,CdClS
Haletos com Metais de Transição,CdCuBr2Te2
Haletos com Metais de Transição,CdF2O
Haletos com Metais de Transição,CdF2O2
Haletos com Metais de Transição,CdF2S2
Haletos com Metais de Transição,CdF2Se2
Haletos com Metais de Transição,CdFHO
Haletos com Metais de Transição,CdH4I2N6
Haletos com Metais de Transição,CdHf3BrCl2IO2
Haletos com Metais de Transição,CdPb2Br2O2
Haletos com Metais de Transição,CdPb2Cl2S2
Haletos com Metais de Transição,CdPdBrFS
