feature,mi_score,mi_score_scaled
DemlData std_dev molar_vol,0.07365877288689138,0.13290545911622656
MagpieData range Row,0.07288213347733663,0.13150413768160085
DemlData std_dev mus_fere,0.07284304483170523,0.13143360848066166
DemlData range row_num,0.07273434829450398,0.13123748298718843
PymatgenData range row,0.07271967945415625,0.13121101541401678
MagpieData range NpValence,0.07213797037576875,0.1301614145436101
DemlData mean GGAU_Etot,0.07158207617192147,0.1291583924800221
DemlData mean mus_fere,0.07132142021012289,0.1286880805413828
MagpieData maximum NdValence,0.0696594384245448,0.12568930057807487
DemlData std_dev heat_fusion,0.06921389055873828,0.124885380809357
MagpieData avg_dev GSvolume_pa,0.0670251036589411,0.12093606538603563
MagpieData mode NpValence,0.06551176419039217,0.11820548667852644
DemlData mean molar_vol,0.06470593918841594,0.11675150451649065
DemlData std_dev FERE correction,0.06425550606537023,0.11593877008346563
MagpieData maximum NpUnfilled,0.06393557796533056,0.11536151106388833
MagpieData maximum SpaceGroupNumber,0.05217668231914363,0.09414446707435428
PymatgenData std_dev atomic_mass,0.05189200727084042,0.09363081654080861
DemlData std_dev atom_mass,0.05161763561675503,0.0931357568320256
MagpieData range NpUnfilled,0.05159766215484307,0.09309971791878406
MagpieData minimum NUnfilled,0.04405174349331831,0.07948431618376371
frac f valence electrons,0.042344753943399205,0.07640432691776043
DemlData std_dev atom_num,0.03978109027799981,0.07177860640796177
avg f valence electrons,0.03916328493110477,0.07066387560190245
MagpieData mean NfValence,0.03878424596534735,0.06997996049182743
0-norm,0.037239078778817714,0.06719195376447673
MagpieData avg_dev Number,0.0372253747447866,0.0671672270297883
MagpieData avg_dev GSmagmom,0.03488146023788019,0.06293800868334719
MagpieData avg_dev NfValence,0.03456385397654316,0.062364939049863
MagpieData minimum NpUnfilled,0.03277015607995626,0.059128498458763806
MagpieData mean GSmagmom,0.03218255531287184,0.05806826697966596
MagpieData avg_dev AtomicWeight,0.029347631574153432,0.0529531011102531
MagpieData minimum NsValence,0.02455558287653936,0.04430661668888342
MagpieData mode NsValence,0.023946582017426943,0.04320777217097649
MagpieData range NsValence,0.022992241117713252,0.04148581685650758
MagpieData mode NdUnfilled,0.022504659495518498,0.040606053906153565
MagpieData mode NsUnfilled,0.015303026133243192,0.02761185985584418
PymatgenData range block,0.014570184647687334,0.026289564760774084
PymatgenData minimum block,0.014167127419169034,0.025562312542106294
MagpieData minimum NpValence,0.014084549355821707,0.025413313651791378
MagpieData maximum NsUnfilled,0.013579901059061594,0.024502756620436585
MagpieData maximum GSmagmom,0.013132155666565115,0.023694871766743758
MagpieData range GSmagmom,0.013017807917052426,0.02348854956570427
MagpieData range NsUnfilled,0.012024901013153011,0.02169700807308313
MagpieData minimum GSbandgap,0.009739291767016489,0.017572992232030106
MagpieData maximum Row,0.009683036301603387,0.01747148825408567
PymatgenData maximum row,0.009683036301603387,0.01747148825408567
DemlData maximum row_num,0.009683036301603387,0.01747148825408567
MagpieData minimum NsUnfilled,0.007222032505902254,0.013031001038032088
MagpieData maximum NsValence,0.0070196609178506675,0.012665853917493204
MagpieData mode GSmagmom,0.0057357188924320734,0.010349186157783017
PymatgenData maximum block,0.0034869951818379263,0.0062917243583447665
MagpieData mode NfValence,0.001407926522562386,0.0025403779285110397
MagpieData minimum NfValence,0.0012054858752132969,0.002175106201529758
PymatgenData minimum electrical_resistivity,0.0003767888521885032,0.0006798551404988314
MagpieData range NfValence,0.0,0.0
MagpieData maximum NfValence,0.0,0.0
